Company,Faculty,Major,Major Code,Company Address,Latitude,Longitude,Count
Indah Water Konsortium Sdn Bhd,FCI,Software Engineering,TB08,"1, Jln Damansara, Bukit Kiara, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1315934,101.6299497,1
Initium Sdn Bhd,FCI,Data Science,TB09,"No. 16, Jalan Maktab 5, Kampung Datuk Keramat,
 5400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1687159,101.7210085,1
Innity Sdn Bhd,FCI,Data Science,TB09,"C501 & C502, Kelana Square, Block C, Jalan SS 7/26, 47301 Petaling Jaya, Selangor",3.1278871,101.5944885,1
Innov8tif Solutions,FCI,Software Engineering,TB08,"E-05-01, 02 & 03 Garden Shoppe, Jalan USJ 25/1C, One City, 47650 Subang Jaya, Selangor, Malaysia",3.0206488,101.5815107,2
Intellogic Technology Sdn Bhd,FCI,Cybersecurity,TB10,"3, Jalan Du 1/2, Taman Damai Utama, 47180 Puchong, Selangor",3.0345911,101.66373,1
International Federation of Red Cross & Red Crescent Societies,FCI,Data Science,TB09,Menara Tokio Marine Life | Level 10 | 189 Jalan Tun Razak | 50450 Kuala Lumpur | Malaysia,3.1629602,101.7170453,1
Inventech Solution,FCI,Software Engineering,TB08,"No 3-32, Jalan Puteri 4/8, Bandar Puteri, 47100 Puchong, Selangor.",3.0174214,101.6133629,1
IsCity Sdn Bhd,FCI,Software Engineering,TB08,"No.8F-2, 8th Tower 2 @ PFCC, Jalan Puteri 1/2, Bandar Puteri, 47100 Puchong, Selangor",3.0261095,101.6152365,1
JABATAN KASTAM DIRAJA MALAYSIA,FCI,Information System,TB13,"Kompleks Kementerian Kewangan, 3, Persiaran Perdana, Presint 2, 62596 Putrajaya, Wilayah Persekutuan Putrajaya",2.9283514,101.6894702,2
JPRO Business Training,FCI,Software Engineering,TB08,"35-1, Jalan Kemuning Prima D33/D, Kemuning Utama, 40460 Shah Alam, Selangor",3.0199699,101.5378424,1
Jade EServices Malaysia Sdn Bhd,FCI,Data Science,TB09,"Unit 13-1, Level 13, Mercu 3, Jalan Bangsar, KL Eco
 City, 59200 Kuala Lumpur.",3.1172927,101.6736472,1
Jetspree Sdn Bhd,FCI,Data Science,TB09,"Lot L2-30A, Second Floor, 3 Damansara Mall, No. 3, Jalan SS 20/27, 47400 Petaling Jaya, Selangor.",3.1304749,101.6269411,1
Joget,FCI,Data Science,TB09,"E-05-01, First Floor
 Garden Shoppe @ One City
 Jalan USJ 25/1C, Subang Jaya
 47650 Selangor
 Malaysia",3.0209371,101.5793323,1
Joget,FCI,Software Engineering,TB08,"E-05-01, First Floor
 Garden Shoppe @ One City
 Jalan USJ 25/1C, Subang Jaya
 47650 Selangor
 Malaysia",3.0209371,101.5793323,1
Julytech Sdn Bhd,FCI,Data Science,TB09,"9, Jln PJS 8/9, Pjs 8, 46150 Petaling Jaya, Selangor",3.0822041,101.6139331,1
Juris Technologies,FCI,Software Engineering,TB08,"Unit 25-01, Level 25, Tower B, The Vertical, Bangsar South, No. 8, Jalan Kerinchi, 59200 Kuala Lumpur, Malaysia.",3.1109305,101.6666748,1
K Delight Construction,FCI,Cybersecurity,TB10,"No.14C, Jalan Mok Hee Kiang, 28400 Mentakab, Pahang.",3.4847758,102.3488666,1
KAF Invesment Bank,FCI,Game Development,TB11,"Level 14, Chulan Tower, 3 Jalan Conlay, 50450 Kuala Lumpur",3.149289,101.716253,1
KDS Consulting Sdn Bhd,FCI,Data Science,TB09,"D-3-53, IOI Boulevard, Jalan Kenari 5, Bandar Puchong Jaya, 47170 Puchong, Selangor, Malaysia.",3.0471592,101.6213238,1
KLG VJ Pro group enterprise,FCI,Data Science,TB09,"Menara A.I.A Intan Milennium Square, Suite 2.01 Level 9. 05, Jalan Batai Laut 4, Taman Intan, 41300 Klang, Selangor Darul Ehsan",3.0563479,101.4708334,1
KPMG MALAYSIA,FCI,Data Science,TB09,"KPMG Tower, 8 First Avenue, Bandar Utama, 47800, Petaling Jaya, Selangor, 47800",3.1466337,101.6174378,2
KYROL Security Labs Sdn Bhd,FCI,Cybersecurity,TB10,"C-09-01 iTech Tower, Jalan Impact Cyber 6, 63000 Cyberjaya, Selangor Darul Ehsan",2.9226388,101.6613639,1
Kaga Components Malaysia,FCI,Software Engineering,TB08,"Plot 11, Lorong Jelawat, Seberang Jaya, Industrial Estate, Seberang Jaya, 13700 Perai, Pulau Pinang",5.4056068,100.3933376,1
